strategy,peakOvr,finalLeague,nhlGames,championships,individualAwards,retirementAge,careerEarnings,wasDemoted,hitUFA
OPTIMIZER,281,,65,0,0,17,0,false,false
OPTIMIZER,271,,68,0,0,17,0,false,false
OPTIMIZER,297,,74,0,0,17,0,false,false
OPTIMIZER,304,,70,0,0,17,0,false,false
OPTIMIZER,282,,77,0,0,17,0,false,false
OPTIMIZER,303,,70,0,0,17,0,false,false
OPTIMIZER,302,,77,0,0,17,0,false,false
OPTIMIZER,297,,66,0,0,17,0,false,false
OPTIMIZER,275,,64,0,0,17,0,false,false
OPTIMIZER,271,,73,0,0,17,0,false,false
OPTIMIZER,293,,62,0,0,17,0,false,false
OPTIMIZER,288,,73,0,0,17,0,false,false
OPTIMIZER,297,,72,0,0,17,0,false,false
OPTIMIZER,291,,66,0,0,17,0,false,false
OPTIMIZER,295,,69,0,0,17,0,false,false
OPTIMIZER,284,,75,0,0,17,0,false,false
OPTIMIZER,274,,63,0,0,17,0,false,false
OPTIMIZER,276,,66,0,0,17,0,false,false
OPTIMIZER,292,,63,0,0,17,0,false,false
OPTIMIZER,295,,70,0,0,17,0,false,false
OPTIMIZER,265,,65,0,0,17,0,false,false
OPTIMIZER,289,,72,0,0,17,0,false,false
OPTIMIZER,290,,75,0,0,17,0,false,false
OPTIMIZER,268,,74,0,0,17,0,false,false
OPTIMIZER,297,,67,0,0,17,0,false,false
OPTIMIZER,270,,66,0,0,17,0,false,false
OPTIMIZER,311,,62,0,0,17,0,false,false
OPTIMIZER,256,,66,0,0,17,0,false,false
OPTIMIZER,296,,70,0,0,17,0,false,false
OPTIMIZER,297,,73,0,0,17,0,false,false
OPTIMIZER,296,,66,0,0,17,0,false,false
OPTIMIZER,355,,64,0,0,17,0,false,false
OPTIMIZER,272,,61,0,0,17,0,false,false
OPTIMIZER,299,,73,0,0,17,0,false,false
OPTIMIZER,295,,72,0,0,17,0,false,false
OPTIMIZER,288,,61,0,0,17,0,false,false
OPTIMIZER,293,,71,0,0,17,0,false,false
OPTIMIZER,259,,75,0,0,17,0,false,false
OPTIMIZER,278,,77,0,0,17,0,false,false
OPTIMIZER,299,,74,0,0,17,0,false,false
OPTIMIZER,324,,63,0,0,17,0,false,false
OPTIMIZER,298,,76,0,0,17,0,false,false
OPTIMIZER,321,,62,0,0,17,0,false,false
OPTIMIZER,275,,62,0,0,17,0,false,false
OPTIMIZER,283,,61,0,0,17,0,false,false
OPTIMIZER,292,,75,0,0,17,0,false,false
OPTIMIZER,273,,74,0,0,17,0,false,false
OPTIMIZER,258,,76,0,0,17,0,false,false
OPTIMIZER,284,,75,0,0,17,0,false,false
OPTIMIZER,287,,75,0,0,17,0,false,false
OPTIMIZER,314,,75,0,0,17,0,false,false
OPTIMIZER,258,,63,0,0,17,0,false,false
OPTIMIZER,292,,65,0,0,17,0,false,false
OPTIMIZER,257,,70,0,0,17,0,false,false
OPTIMIZER,259,,65,0,0,17,0,false,false
OPTIMIZER,249,,75,0,0,17,0,false,false
OPTIMIZER,319,,74,0,0,17,0,false,false
OPTIMIZER,288,,64,0,0,17,0,false,false
OPTIMIZER,311,,61,0,0,17,0,false,false
OPTIMIZER,328,,65,0,0,17,0,false,false
OPTIMIZER,266,,69,0,0,17,0,false,false
OPTIMIZER,294,,71,0,0,17,0,false,false
OPTIMIZER,267,,64,0,0,17,0,false,false
OPTIMIZER,289,,71,0,0,17,0,false,false
OPTIMIZER,258,,64,0,0,17,0,false,false
OPTIMIZER,314,,77,0,0,17,0,false,false
